Carat,Cut,Crown Height (mm),Girdle Diameter (mm),Pavillion Depth (mm),Table %,Total Depth %,Clarity,Color,Price
0.23,Ideal,3.95,3.98,2.43,55.0,61.5,SI2,E,326
0.21,Excellent,3.89,3.84,2.31,61.0,59.8,SI1,E,326
0.23,Good,4.05,4.07,2.31,65.0,56.9,VS1,E,327
0.29,Excellent,4.2,4.23,2.63,58.0,62.4,VS2,I,334
0.31,Good,4.34,4.35,2.75,58.0,63.3,SI2,J,335
0.24,Very Good,3.94,3.96,2.48,57.0,62.8,VVS2,J,336
0.24,Very Good,3.95,3.98,2.47,57.0,62.3,VVS1,I,336
0.26,Very Good,4.07,4.11,2.53,55.0,61.9,SI1,H,337
0.22,Fair,3.87,3.78,2.49,61.0,65.1,VS2,E,337
0.23,Very Good,4.0,4.05,2.39,61.0,59.4,VS1,H,338
0.3,Good,4.25,4.28,2.73,55.0,64.0,SI1,J,339
0.23,Ideal,3.93,3.9,2.46,56.0,62.8,VS1,J,340
0.22,Excellent,3.88,3.84,2.33,61.0,60.4,SI1,F,342
0.31,Ideal,4.35,4.37,2.71,54.0,62.2,SI2,J,344
0.2,Excellent,3.79,3.75,2.27,62.0,60.2,SI2,E,345
0.32,Excellent,4.38,4.42,2.68,58.0,60.9,I1,E,345
0.3,Ideal,4.31,4.34,2.68,54.0,62.0,SI2,I,348
0.3,Good,4.23,4.29,2.7,54.0,63.4,SI1,J,351
0.3,Good,4.23,4.26,2.71,56.0,63.8,SI1,J,351
0.3,Very Good,4.21,4.27,2.66,59.0,62.7,SI1,J,351
0.3,Good,4.26,4.3,2.71,56.0,63.3,SI2,I,351
0.23,Very Good,3.85,3.92,2.48,55.0,63.8,VS2,E,352
0.23,Very Good,3.94,3.96,2.41,57.0,61.0,VS1,H,353
0.31,Very Good,4.39,4.43,2.62,62.0,59.4,SI1,J,353
0.31,Very Good,4.44,4.47,2.59,62.0,58.1,SI1,J,353
0.23,Very Good,3.97,4.01,2.41,58.0,60.4,VVS2,G,354
0.24,Excellent,3.97,3.94,2.47,57.0,62.5,VS1,I,355
0.3,Very Good,4.28,4.3,2.67,57.0,62.2,VS2,J,357
0.23,Very Good,3.96,3.97,2.4,61.0,60.5,VS2,D,357
0.23,Very Good,3.96,3.99,2.42,57.0,60.9,VS1,F,357
0.23,Very Good,4.0,4.03,2.41,57.0,60.0,VS1,F,402
0.23,Very Good,4.04,4.06,2.42,57.0,59.8,VS1,F,402
0.23,Very Good,3.97,4.01,2.42,59.0,60.7,VS1,E,402
0.23,Very Good,4.01,4.06,2.4,58.0,59.5,VS1,E,402
0.23,Very Good,3.92,3.96,2.44,58.0,61.9,VS1,D,402
0.23,Good,4.06,4.08,2.37,59.0,58.2,VS1,F,402
0.23,Good,3.83,3.85,2.46,59.0,64.1,VS1,E,402
0.31,Good,4.29,4.31,2.75,54.0,64.0,SI1,H,402
0.26,Very Good,4.13,4.16,2.52,59.0,60.8,VS2,D,403
0.33,Ideal,4.49,4.51,2.78,55.0,61.8,SI2,I,403
0.33,Ideal,4.49,4.5,2.75,56.0,61.2,SI2,I,403
0.33,Ideal,4.49,4.55,2.76,56.0,61.1,SI1,J,403
0.26,Good,3.99,4.02,2.61,56.0,65.2,VS2,D,403
0.26,Good,4.19,4.24,2.46,63.0,58.4,VS1,D,403
0.32,Good,4.34,4.37,2.75,56.0,63.1,SI2,H,403
